001	001	Bulbasaur	64	0	0	0	1	0	0	1
002	002	Ivysaur	141	0	0	0	1	1	0	2
003	003	Venusaur	208	0	0	0	2	1	0	3
004	004	Charmander	65	0	0	0	0	0	1	1
005	005	Charmeleon	142	0	0	0	1	0	1	2
006	006	Charizard	209	0	0	0	3	0	0	3
007	007	Squirtle	66	0	0	1	0	0	0	1
008	008	Wartortle	143	0	0	1	0	1	0	2
009	009	Blastoise	210	0	0	0	0	3	0	3
010	010	Caterpie	53	1	0	0	0	0	0	1
011	011	Metapod	72	0	0	2	0	0	0	2
012	012	Butterfree	160	0	0	0	2	1	0	3
013	013	Weedle	52	0	0	0	0	0	1	1
014	014	Kakuna	71	0	0	2	0	0	0	2
015	015	Beedrill	159	0	2	0	0	1	0	3
016	016	Pidgey	55	0	0	0	0	0	1	1
017	017	Pidgeotto	113	0	0	0	0	0	2	2
018	018	Pidgeot	172	0	0	0	0	0	3	3
019	019	Rattata	57	0	0	0	0	0	1	1
020	020	Raticate	116	0	0	0	0	0	2	2
021	021	Spearow	58	0	0	0	0	0	1	1
022	022	Fearow	162	0	0	0	0	0	2	2
023	023	Ekans	62	0	1	0	0	0	0	1
024	024	Arbok	147	0	2	0	0	0	0	2
025	025	Pikachu	82	0	0	0	0	0	2	2
026	026	Raichu	122	0	0	0	0	0	3	3
027	027	Sandshrew	93	0	0	1	0	0	0	1
028	028	Sandslash	163	0	0	2	0	0	0	2
029	029	Nidoran♀	59	1	0	0	0	0	0	1
030	030	Nidorina	117	2	0	0	0	0	0	2
031	031	Nidoqueen	194	3	0	0	0	0	0	3
032	032	Nidoran♂	60	0	1	0	0	0	0	1
033	033	Nidorino	118	0	2	0	0	0	0	2
034	034	Nidoking	195	0	3	0	0	0	0	3
035	035	Clefairy	68	2	0	0	0	0	0	2
036	036	Clefable	129	3	0	0	0	0	0	3
037	037	Vulpix	63	0	0	0	0	0	1	1
038	038	Ninetales	178	0	0	0	1	1	0	2
039	039	Jigglypuff	76	2	0	0	0	0	0	2
040	040	Wigglytuff	109	3	0	0	0	0	0	3
041	041	Zubat	54	0	0	0	0	0	1	1
042	042	Golbat	171	0	0	0	0	0	2	2
043	043	Oddish	78	0	0	0	1	0	0	1
044	044	Gloom	132	0	0	0	2	0	0	2
045	045	Vileplume	184	0	0	0	3	0	0	3
046	046	Paras	70	0	1	0	0	0	0	1
047	047	Parasect	128	0	2	1	0	0	0	3
048	048	Venonat	75	0	0	0	0	1	0	1
049	049	Venomoth	138	0	0	0	1	0	1	2
050	050	Diglett	81	0	0	0	0	0	1	1
051	051	Dugtrio	153	0	0	0	0	0	2	2
052	052	Meowth	69	0	0	0	0	0	1	1
053	053	Persian	148	0	0	0	0	0	2	2
054	054	Psyduck	80	0	0	0	1	0	0	1
055	055	Golduck	174	0	0	0	2	0	0	2
056	056	Mankey	74	0	1	0	0	0	0	1
057	057	Primeape	149	0	2	0	0	0	0	2
058	058	Growlithe	91	0	1	0	0	0	0	1
059	059	Arcanine	213	0	2	0	0	0	0	2
060	060	Poliwag	77	0	0	0	0	0	1	1
061	061	Poliwhirl	131	0	0	0	0	0	2	2
062	062	Poliwrath	185	0	0	3	0	0	0	3
063	063	Abra	75*	0	0	0	1	0	0	1
064	064	Kadabra	145	0	0	0	2	0	0	2
065	065	Alakazam	186	0	0	0	3	0	0	3
066	066	Machop	75*	0	1	0	0	0	0	1
067	067	Machoke	146	0	2	0	0	0	0	2
068	068	Machamp	193	0	3	0	0	0	0	3
069	069	Bellsprout	84	0	1	0	0	0	0	1
070	070	Weepinbell	151	0	2	0	0	0	0	2
071	071	Victreebel	191	0	3	0	0	0	0	3
072	072	Tentacool	105	0	0	0	0	1	0	1
073	073	Tentacruel	205	0	0	0	0	2	0	2
074	074	Geodude	73*	0	0	1	0	0	0	1
075	075	Graveler	134	0	0	2	0	0	0	2
076	076	Golem	177	0	0	3	0	0	0	3
077	077	Ponyta	152	0	0	0	0	0	1	1
078	078	Rapidash	192	0	0	0	0	0	2	2
079	079	Slowpoke	99	1	0	0	0	0	0	1
080	080	Slowbro	164	0	0	2	0	0	0	2
081	081	Magnemite	89	0	0	0	1	0	0	1
082	082	Magneton	161	0	0	0	2	0	0	2
083	083	Farfetch'd	94	0	1	0	0	0	0	1
084	084	Doduo	96	0	1	0	0	0	0	1
085	085	Dodrio	158	0	2	0	0	0	0	2
086	086	Seel	100	0	0	0	0	1	0	1
087	087	Dewgong	176	0	0	0	0	2	0	2
088	088	Grimer	90	1	0	0	0	0	0	1
089	089	Muk	157	1	1	0	0	0	0	2
090	090	Shellder	97	0	0	1	0	0	0	1
091	091	Cloyster	203	0	0	2	0	0	0	2
092	092	Gastly	95	0	0	0	1	0	0	1
093	093	Haunter	126	0	0	0	2	0	0	2
094	094	Gengar	190	0	0	0	3	0	0	3
095	095	Onix	108	0	0	1	0	0	0	1
096	096	Drowzee	102	0	0	0	0	1	0	1
097	097	Hypno	165	0	0	0	0	2	0	2
098	098	Krabby	115	0	1	0	0	0	0	1
099	099	Kingler	206	0	2	0	0	0	0	2
100	100	Voltorb	103	0	0	0	0	0	1	1
101	101	Electrode	150	0	0	0	0	0	2	2
102	102	Exeggcute	98	0	0	1	0	0	0	1
103	103	Exeggutor	212	0	0	0	2	0	0	2
104	104	Cubone	87	0	0	1	0	0	0	1
105	105	Marowak	124	0	0	2	0	0	0	2
106	106	Hitmonlee	139	0	2	0	0	0	0	2
107	107	Hitmonchan	140	0	0	0	0	2	0	2
108	108	Lickitung	127	2	0	0	0	0	0	2
109	109	Koffing	114	0	0	1	0	0	0	1
110	110	Weezing	173	0	0	2	0	0	0	2
111	111	Rhyhorn	135	0	0	1	0	0	0	1
112	112	Rhydon	204	0	2	0	0	0	0	2
113	113	Chansey	255	2	0	0	0	0	0	2
114	114	Tangela	166	0	0	1	0	0	0	1
115	115	Kangaskhan	175	2	0	0	0	0	0	2
116	116	Horsea	83	0	0	0	1	0	0	1
117	117	Seadra	155	0	0	1	1	0	0	2
118	118	Goldeen	111	0	1	0	0	0	0	1
119	119	Seaking	170	0	2	0	0	0	0	2
120	120	Staryu	106	0	0	0	0	0	1	1
121	121	Starmie	207	0	0	0	0	0	2	2
122	122	Mr.Mime	136	0	0	0	0	2	0	2
123	123	Scyther	187	0	1	0	0	0	0	1
124	124	Jynx	137	0	0	0	2	0	0	2
125	125	Electabuzz	156	0	0	0	0	0	2	2
126	126	Magmar	167	0	0	0	2	0	0	2
127	127	Pinsir	200	0	2	0	0	0	0	2
128	128	Tauros	211	0	1	0	0	0	1	2
129	129	Magikarp	20	0	0	0	0	0	1	1
130	130	Gyarados	214	0	2	0	0	0	0	2
131	131	Lapras	219	2	0	0	0	0	0	2
132	132	Ditto	61	1	0	0	0	0	0	1
133	133	Eevee	92	0	0	0	0	1	0	1
134	134	Vaporeon	196	2	0	0	0	0	0	2
135	135	Jolteon	197	0	0	0	0	0	2	2
136	136	Flareon	198	0	2	0	0	0	0	2
137	137	Porygon	130	0	0	0	1	0	0	1
138	138	Omanyte	99*	0	0	1	0	0	0	1
139	139	Omastar	199	0	0	2	0	0	0	2
140	140	Kabuto	99*	0	0	1	0	0	0	1
141	141	Kabutops	199*	0	2	0	0	0	0	2
142	142	Aerodactyl	202	0	0	0	0	0	2	2
143	143	Snorlax	154	2	0	0	0	0	0	2
